state,total_rx,total_revenue,doctors,rx_per_doctor,revenue_per_doctor,current_budget_share,current_budget,proposed_budget,budget_change,budget_change_pct
Ohio,4407,10824360.61,6,734.5,1804060.0,0.05256957528388697,105139.0,389368.0,284229.0,270.3
Arizona,8019,26494614.85,7,1145.6,3784945.0,0.12867371110012057,257347.0,218745.0,-38602.0,-15.0
Texas,12532,18082034.5,10,1253.2,1808203.0,0.0878171846063055,175634.0,149289.0,-26345.0,-15.0
Illinois,23284,33758406.26,15,1552.3,2250560.0,0.16395103076200185,327902.0,278717.0,-49185.0,-15.0
North Carolina,13568,22330583.69,8,1696.0,2791323.0,0.10845068292903018,216901.0,184366.0,-32535.0,-15.0
California,5629,5530237.64,3,1876.3,1843413.0,0.026858144737453033,53716.0,45659.0,-8057.0,-15.0
Florida,18837,23200957.49,10,1883.7,2320096.0,0.11267773916383005,225355.0,191552.0,-33803.0,-15.0
Georgia,13976,14159856.31,7,1996.6,2022837.0,0.06876873924635139,137537.0,116906.0,-20631.0,-15.0
Pennsylvania,31590,43049549.27,12,2632.5,3587462.0,0.2090743834971576,418149.0,355427.0,-62722.0,-15.0
New York,14014,8474821.89,5,2802.8,1694964.0,0.041158808673862936,82318.0,69970.0,-12348.0,-15.0
