month,total_rx,total_revenue
2022-01-01,3349,5443066.43
2022-02-01,3489,5258839.89
2022-03-01,3459,5409837.52
2022-04-01,3515,5750400.0
2022-05-01,3465,5462365.68
2022-06-01,3403,5486577.74
2022-07-01,3362,5303306.7
2022-08-01,3367,5532397.57
2022-09-01,3380,5403717.85
2022-10-01,3376,4913423.44
2022-11-01,3560,5086562.99
2022-12-01,3637,5432964.3
2023-01-01,3787,5256131.7
2023-02-01,3887,5737948.0
2023-03-01,3990,5986341.09
2023-04-01,4035,5984200.35
2023-05-01,4047,5849675.91
2023-06-01,3838,5507669.2
2023-07-01,3867,5542426.14
2023-08-01,3782,5054389.43
2023-09-01,3924,5351729.8
2023-10-01,3996,5519130.43
2023-11-01,4113,5457661.07
2023-12-01,4348,6140052.72
2024-01-01,4521,6206344.36
2024-02-01,4570,5952941.77
2024-03-01,4799,6523702.65
2024-04-01,4696,6057305.94
2024-05-01,4788,6016415.41
2024-06-01,4568,6016790.66
2024-07-01,4570,5849990.97
2024-08-01,4676,6294055.68
2024-09-01,4623,6019309.02
2024-10-01,4851,6081008.47
2024-11-01,4980,6441972.0
2024-12-01,5238,6574769.63
