month,doctor_id,doctor_name,specialty,state,region,molecule,brand,therapy_area,prescriptions,unique_patients,total_cost
2022-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,19,11,18303.12
2022-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,23,17,20181.72
2022-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,35,27,31030.12
2022-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,23,19,22100.76
2022-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,23,15,21922.27
2022-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,23,18,23234.98
2022-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,18,10,17571.25
2022-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,21,16,20807.52
2022-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,20,14,18607.6
2022-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,22,14,22358.13
2022-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,21,14,21521.66
2022-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,28,22,27288.03
2023-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,27,21,24675.14
2023-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,42,25,42013.82
2023-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,25,18,25173.34
2023-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,27,21,27586.38
2023-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,33,18,29993.95
2023-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,25,15,23774.05
2023-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,36,22,35864.17
2023-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,37,22,33033.99
2023-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,45,29,42671.91
2023-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,38,22,35632.8
2023-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,48,33,47677.63
2023-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,34,25,34200.47
2024-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,43,28,40365.57
2024-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,46,32,41936.89
2024-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,39,31,34710.09
2024-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,32,19,31979.17
2024-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,42,35,37764.75
2024-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,41,24,35965.79
2024-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,32,18,30843.32
2024-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,50,32,47534.4
2024-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,31,19,28269.11
2024-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,50,28,46539.47
2024-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,52,42,45858.71
2024-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Semaglutide,Ozempic,Diabetes & Metabolic,67,54,67750.62
2022-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,13,9,13468.49
2022-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,11,9,11831.98
2022-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,13,10,13187.33
2022-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,13,10,14437.81
2022-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,6,3,6527.52
2022-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,14,11,15394.11
2022-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,18,13,17675.43
2022-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,13,9,13808.19
2022-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,12,9,13203.28
2022-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,12,10,11833.38
2022-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,8,6,8290.61
2022-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,18,12,20104.66
2023-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,19,13,19357.69
2023-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,12,10,12474.81
2023-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,16,11,17972.34
2023-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,22,15,24898.59
2023-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,20,15,21625.28
2023-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,23,16,23927.1
2023-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,23,20,25615.23
2023-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,16,9,18141.59
2023-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,22,13,24567.44
2023-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,17,13,16525.28
2023-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,24,15,26608.82
2023-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,33,25,36523.76
2024-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,13,8,13659.9
2024-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,32,26,31746.43
2024-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,33,21,35813.71
2024-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,19,11,21176.19
2024-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,35,20,34889.18
2024-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,37,27,36644.13
2024-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,44,32,47676.74
2024-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,26,17,27187.17
