state,total_rx,total_revenue,doctors,rx_per_doctor,revenue_per_doctor
Ohio,4407,10824360.61,6,734.5,1804060.0
Arizona,8019,26494614.85,7,1145.6,3784945.0
Texas,12532,18082034.5,10,1253.2,1808203.0
Illinois,23284,33758406.26,15,1552.3,2250560.0
North Carolina,13568,22330583.69,8,1696.0,2791323.0
California,5629,5530237.64,3,1876.3,1843413.0
Florida,18837,23200957.49,10,1883.7,2320096.0
Georgia,13976,14159856.31,7,1996.6,2022837.0
Pennsylvania,31590,43049549.27,12,2632.5,3587462.0
New York,14014,8474821.89,5,2802.8,1694964.0
